Tipo,VideoID,Project,Origem,Tema,Título YouTube/Ideia,Descrição,Publicação,Duração,YouTube ID,Status,arXiv/SSRN,Journal,Research Gate,YouTube,TikTok,LinkedIn,Newsletter LinkedIn,Substack,GitHub Project,Oz.io,Oz Site,Curso,arXiv/SSRN (link),Journal (link),Research Gate (link),YouTube (link),TikTok (link),LinkedIn (link),Newsletter LinkedIn (link),Substack (link),GitHub Project.1,Oz.io (link),Oz Site (link),Curso (link)
Short,017,mathematics,youtube,analysis,017_equacao_x2_x3_equal_12,solving x^2 - x^3 = 12,2025-07-30,00:00:28,r4VlkcjmK2U,published,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,-------,-------,-------,https://www.youtube.com/watch?v=r4VlkcjmK2U,-------,-------,-------,-------,-------,-------,-------,-------
Short,018,mathematics,youtube,analysis,018_soma_n_primeiros_impares_pt,Soma dos n primeiros ímpares é igual à n² ,2025-07-23,00:00:31,Yn0JttpsrVQ,published,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,-------,-------,-------,https://www.youtube.com/watch?v=Yn0JttpsrVQ,-------,-------,-------,-------,-------,-------,-------,-------
Short,019,mathematics,youtube,number theory,019_sum_first_n_odd_numbers_en,Sum of the n first n odd numbers is n² ,2025-07-23,00:00:31,Ibfhu1LQsCQ,published,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,-------,-------,-------,https://www.youtube.com/watch?v=Ibfhu1LQsCQ,-------,-------,-------,-------,-------,-------,-------,-------
Short,020,mathematics,youtube,analysis,020_formula_bhaskara,x^2 - 5x + 6 = 0,2025-07-21,00:00:31,WXRjzCGxcaM,published,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,-------,-------,-------,https://www.youtube.com/watch?v=WXRjzCGxcaM,-------,-------,-------,-------,-------,-------,-------,-------
Short,021,mathematics,youtube,algebra,021_sqrt27_minus_sqrt12_over_sqrt75,(√27 - √12) / √75,2025-07-20,00:00:31,178OpIPLtl8,published,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,-------,-------,-------,https://www.youtube.com/watch?v=178OpIPLtl8,-------,-------,-------,-------,-------,-------,-------,-------
Short,022,physics,youtube,quantum physics,022_phys_quantum_tunneling_python_pt,Efeito túnel da mecânica quântica - Simulação em Python,2025-07-16,00:00:09,h4B-unb2UGI,published,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,-------,-------,-------,https://www.youtube.com/watch?v=h4B-unb2UGI,-------,-------,-------,-------,-------,-------,-------,-------
Short,023,physics,youtube,quantum physics,023_phys_quantum_tunneling_python_en,Quantum tunneling (potencial barrier) - Python simulation,2025-07-16,00:00:09,rhZG1Rgyg5Y,published,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,-------,-------,-------,https://www.youtube.com/watch?v=rhZG1Rgyg5Y,-------,-------,-------,-------,-------,-------,-------,-------
Short,024,mathematics,youtube,analysis,024_somatoria_fx,Animação da soma de Riemann #soma #Riemann #calculo #integral,2025-07-10,00:00:12,VlJ784LCkhE,published,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,-------,-------,-------,https://www.youtube.com/watch?v=VlJ784LCkhE,-------,-------,-------,-------,-------,-------,-------,-------
Short,025,mathematics,youtube,,,,,,,,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,-------,-------,-------,-------,-------,-------,-------,-------,-------,-------,-------,-------
Short,026,,,,,,,,,,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,-------,-------,-------,-------,-------,-------,-------,-------,-------,-------,-------,-------
Short,027,,,,,,,,,,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,-------,-------,-------,-------,-------,-------,-------,-------,-------,-------,-------,-------
Short,028,,,,,,,,,,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,-------,-------,-------,-------,-------,-------,-------,-------,-------,-------,-------,-------
Short,029,,,,,,,,,,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,-------,-------,-------,-------,-------,-------,-------,-------,-------,-------,-------,-------
Short,030,,,,,,,,,,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,-------,-------,-------,-------,-------,-------,-------,-------,-------,-------,-------,-------
Short,031,,,,,,,,,,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,-------,-------,-------,-------,-------,-------,-------,-------,-------,-------,-------,-------
Short,032,,,,,,,,,,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,-------,-------,-------,-------,-------,-------,-------,-------,-------,-------,-------,-------
Short,033,,,,,,,,,,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,-------,-------,-------,-------,-------,-------,-------,-------,-------,-------,-------,-------
Short,034,,,,,,,,,,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,-------,-------,-------,-------,-------,-------,-------,-------,-------,-------,-------,-------
Short,035,,,,,,,,,,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,-------,-------,-------,-------,-------,-------,-------,-------,-------,-------,-------,-------
Short,036,,,,,,,,,,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,-------,-------,-------,-------,-------,-------,-------,-------,-------,-------,-------,-------
Short,037,,,,,,,,,,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,-------,-------,-------,-------,-------,-------,-------,-------,-------,-------,-------,-------
Short,038,,,,,,,,,,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,-------,-------,-------,-------,-------,-------,-------,-------,-------,-------,-------,-------
Short,039,,,,,,,,,,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,-------,-------,-------,-------,-------,-------,-------,-------,-------,-------,-------,-------
Short,040,,,,,,,,,,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,-------,-------,-------,-------,-------,-------,-------,-------,-------,-------,-------,-------
Short,041,,,,,,,,,,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,-------,-------,-------,-------,-------,-------,-------,-------,-------,-------,-------,-------
Short,042,,,,,,,,,,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,-------,-------,-------,-------,-------,-------,-------,-------,-------,-------,-------,-------
Short,043,,,,,,,,,,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,-------,-------,-------,-------,-------,-------,-------,-------,-------,-------,-------,-------
Short,044,,,,,,,,,,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,-------,-------,-------,-------,-------,-------,-------,-------,-------,-------,-------,-------
Short,045,,,,,,,,,,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,-------,-------,-------,-------,-------,-------,-------,-------,-------,-------,-------,-------
Short,046,,,,,,,,,,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,-------,-------,-------,-------,-------,-------,-------,-------,-------,-------,-------,-------
Short,047,,,,,,,,,,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,-------,-------,-------,-------,-------,-------,-------,-------,-------,-------,-------,-------
Short,048,,,,,,,,,,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,-------,-------,-------,-------,-------,-------,-------,-------,-------,-------,-------,-------
Short,049,,,,,,,,,,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,-------,-------,-------,-------,-------,-------,-------,-------,-------,-------,-------,-------
Short,050,,,,,,,,,,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,-------,-------,-------,-------,-------,-------,-------,-------,-------,-------,-------,-------
